,genres
507,'Comedy'
508,'Boys Love'
508,'Drama'
508,'Fantasy'
508,'Supernatural'
509,'Drama'
509,'Ecchi'
509,'Romance'
509,'Sports'
510,'Action'
510,'Comedy'
510,'Drama'
510,'Ecchi'
511,'Action'
511,'Drama'
511,'Fantasy'
513,'Action'
513,'Sci-Fi'
514,'Action'
514,'Comedy'
515,'Action'
515,'Fantasy'
515,'Supernatural'
516,'Drama'
516,'Horror'
516,'Mystery'
516,'Supernatural'
518,'Drama'
518,'Slice of Life'
519,'Action'
519,'Fantasy'
519,'Romance'
520,'Romance'
521,'Comedy'
521,'Drama'
521,'Sci-Fi'
521,'Slice of Life'
522,'Comedy'
522,'Mystery'
522,'Supernatural'
523,'Drama'
523,'Romance'
524,'Award Winning'
524,'Comedy'
524,'Drama'
524,'Romance'
524,'Sports'
525,'Drama'
525,'Mystery'
525,'Supernatural'
525,'Suspense'
526,'Action'
526,'Drama'
527,'Award Winning'
527,'Drama'
528,'Drama'
528,'Horror'
528,'Supernatural'
529,'Drama'
529,'Romance'
530,'Action'
530,'Fantasy'
531,'Action'
531,'Comedy'
532,'Comedy'
532,'Drama'
532,'Slice of Life'
532,'Sports'
533,'Comedy'
534,'Comedy'
534,'Romance'
535,'Drama'
537,
538,'Drama'
538,'Mystery'
538,'Suspense'
539,'Drama'
539,'Romance'
539,'Sci-Fi'
540,'Comedy'
540,'Romance'
541,'Comedy'
541,'Drama'
541,'Ecchi'
541,'Romance'
542,'Comedy'
542,'Drama'
542,'Horror'
542,'Mystery'
542,'Supernatural'
543,'Comedy'
543,'Romance'
543,'Slice of Life'
544,'Action'
544,'Drama'
544,'Supernatural'
545,'Award Winning'
545,'Drama'
546,'Action'
546,'Award Winning'
546,'Sci-Fi'
547,'Adventure'
547,'Drama'
547,'Fantasy'
547,'Romance'
548,'Comedy'
548,'Ecchi'
548,'Fantasy'
549,'Comedy'
549,'Fantasy'
549,'Romance'
549,'Supernatural'
550,'Comedy'
550,'Horror'
550,'Supernatural'
551,'Comedy'
551,'Romance'
552,'Romance'
552,'Sports'
553,'Action'
553,'Adventure'
553,'Drama'
553,'Fantasy'
554,'Comedy'
554,'Slice of Life'
556,'Adventure'
556,'Fantasy'
556,'Romance'
557,'Action'
557,'Drama'
557,'Horror'
557,'Mystery'
558,'Action'
559,'Ecchi'
559,'Romance'
559,'Supernatural'
560,'Comedy'
560,'Romance'
561,'Action'
561,'Drama'
561,'Fantasy'
561,'Supernatural'
562,'Drama'
562,'Horror'
562,'Mystery'
562,'Romance'
562,'Supernatural'
563,'Drama'
563,'Horror'
563,'Mystery'
564,'Slice of Life'
566,'Romance'
566,'Sci-Fi'
567,'Comedy'
567,'Drama'
567,'Romance'
567,'Slice of Life'
568,'Ecchi'
568,'Romance'
568,'Slice of Life'
569,'Comedy'
570,'Comedy'
570,'Drama'
570,'Ecchi'
570,'Romance'
570,'Slice of Life'
571,'Action'
571,'Horror'
571,'Supernatural'
572,'Action'
